granule,row,col,label,aoi_pos_frac,data_frac,tier,dist_km,grounded_frac,ice_condition,vel_m_yr,source,timestamp
025_048,8704,33792,none,0.0,0.9121,core,18.1,1.0,grounded,227.6,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,9216,32768,none,0.0,0.9209,core,13.8,1.0,grounded,313.1,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,9216,33280,none,0.0,1.0,core,16.2,1.0,grounded,300.1,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,9728,31744,none,0.0,0.9297,core,10.9,1.0,grounded,364.4,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,9728,32256,none,0.0,1.0,core,12.8,1.0,grounded,344.7,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,10240,30208,none,0.0,0.542,core,5.1,1.0,grounded,449.2,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,10240,30720,none,0.0,0.9521,core,7.7,1.0,grounded,428.7,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,10240,31232,none,0.0,1.0,core,10.2,1.0,grounded,403.6,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,10240,31744,none,0.0,1.0,core,12.8,1.0,grounded,374.1,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,10240,32256,none,0.0,1.0,core,14.5,1.0,grounded,350.6,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,10240,32768,none,0.0,1.0,core,16.4,1.0,grounded,341.3,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,10240,33280,none,0.0,1.0,core,18.5,1.0,grounded,334.4,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,10752,29696,none,0.0,0.9639,core,2.6,1.0,grounded,477.8,alphaearth,2026-09-08T17:04:05.861996+00:00
025_048,10752,30208,none,0.0,1.0,core,5.1,1.0,grounded,444.0,alphaearth,2026-09-08T17:04:05.861996+00:00
